brand,name,old_price_reais,new_price_reais,old_price_centavos,new_price_centavos,rating,reviews
PLAZA,Kit 4 Pares Tênis Masculino Casual Academia Caminhada Atacad,289,32,90,21,4.3,(455)
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,109,36,90,63,4.4,(336)
POLO JOY,Combo 2 Pares Tenis Masculino Polo Joy Casual Slip On Iate,169,16,90,51,4.6,(403)
NEW BALANCE,New Balance 997s Masculino Adultos,196,177,90,30,4.2,(6)
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,199,33,90,32,4.3,(39)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,339,251,99,59,4.7,(77)
OLYMPIKUS,Tênis Olympikus Neblina Masculino,279,31,90,10,4.6,(59)
OLYMPIKUS,Tênis Masculino Subverse Olympikus,349,251,99,99,4.7,(74)
FILA,Tenis Fila Venture Tracer Preto/grafite/laranja,346,33,37,58,5.0,(1)
SIX STREET,Tênis Six Street Infinity  Esporte Basquete Corrida Original,298,33,90,21,5.0,(1)
FILA,Fila Racer Spider Masculino Adultos,311,230,92,82,4.8,(203)
ZEUZ,Tênis Masculino Leve Esportivo Conforto Dia A Dia Elástico,89,30,99,,4.4,(11)
OLDSEN,Tênis Lançamento Original Confortável Corrida Esportivo,63,6,90,21,4.8,(11)
DM DAMANDO,Tenis Masculino Esportivo Academia Confortavel Crossfit Leve,82,78,90,75,4.6,(9)
OLYMPIKUS,Olympikus Active Lap Masculino Adultos,239,23,90,32,4.7,(6)
FILA,Fila KR6 Masculino Adultos,317,31,70,,4.7,(362)
SCHIARELI,Tênis Confortavel Esportivo Leve Macio Varias Cores,139,34,90,98,4.6,(79)
OLYMPIKUS,Olympikus Eros Masculino Adultos,165,156,75,24,4.8,(1734)
UNDER ARMOUR,Under Armour Spawn 3 Masculino Adultos,315,31,50,,4.7,(33)
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,134,33,90,72,4.6,(78)
DM DAMANDO,Combo 3 Pares Tenis Esportivo Masculino Caminhada + Relógio,209,199,90,40,4.0,(9)
OLYMPIKUS,Tênis Olympikus Diffuse 4 Preto E Dourado,200,33,85,48,4.7,(82)
FILA,Fila Racer T2 Masculino Adultos,499,369,26,93,4.8,(92)
OLYMPIKUS,Tênis Masculino Olympikus Corrida Macio Wellness Original,229,218,99,49,4.9,(14)
EVOLTENN,Kit 3 Tênis Desportivo Solado Trançado Macio Envio Imadiato,189,180,90,40,4.4,(135)
SAPATOFRAN,Kit Tênis Academia Sapatênis Chinela Relógio Carteira,129,107,80,35,4.3,(286)
OLYMPIKUS,Tênis Olympikus Diffuse 5 Masculino Esportivo Original,251,31,38,,,
DM DAMANDO,Combo 2 Pares Tenis Masculino Treino Academia Corrida + Rel,149,142,90,40,4.4,(113)
OLYMPIKUS,Tênis Olympikus Masculino Confortável Lançamento Z160,189,18,99,47,4.8,(9)
ASICS,Asics Gel-Shogun 5 Masculino Adultos,479,355,90,12,4.8,(168)
OLYMPIKUS,Tênis Olympikus Voa 2 Preto,272,30,85,32,4.8,(21)
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,78,75,97,02,4.4,(3032)
