brand,name,rating,reviews,_source,_data_coleta,old_price,new_price
OLYMPIKUS,Tênis Olympikus Challenger 5 Corrida Unissex Treino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,319.9,297.5
ADRUN,Tênis Esportivo Masculino Adrun Flex Go 9801m Preto,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,139.9,34.98
BF SHOES,Tênis Branco Lançamento Original Confortável,4.6,7817,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,92.63,68.55
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,4.6,996,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,7.67
BF SHOES,Tênis Branco Masculino Para Academia Esportivo Bf Shoes,4.8,69,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,74.95
FILA,Kit Tênis Fila  Adr  Masculino E Meia,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,362.99,329.99
FILA,Tênis Fila Street Fit Masculino Preto All Black,4.0,4,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,329.1,296.71
OLYMPIKUS,Tenis Masculino Olympikus Cyber 4 Lançamento,4.8,39,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,259.9,32.49
OLYMPIKUS,Tênis Olympikus Volcan 2 Masculino Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,219.98,199.99
DIX, Tênis Maculino Academia Promoção R-4200 - Kit 2 Pares,4.2,657,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,139.9,132.9
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,4.4,1886,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,188.9,179.45
TMC,Tênis Masculino Academia Olympiko Esportivo Barato Original,4.5,258,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,67.06
MVP FITNESS,Tênis Mvp Para Crossfit - 3x3 All Black,4.8,138,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,379.05,360.01
DUBBELE,Tenis Masculino Academia Corrida Wave Force Promoção Barato,4.2,544,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,73.98,7.19
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,4.5,454,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,144.9,137.65
VIA LIVRE,Tênis Masculino Advanced Flutua Academia Corrida Extra Leve,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,199.85,33.31
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,4.5,1305,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,74.95
TAYGRA,Taygra Original Para Dança Confortável  Preto - Envio 24hs ,4.8,141,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,179.9,17.49
OLYMPIKUS,Tenis Olympikus Challenger 5 Original Corrida Treino,5.0,2,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,299.9,278.9
FILA,Kit Tênis Fila Improve Masculino E Meia,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,439.99,399.99
WONDER,Tenis Masculino Wonder Esportivo Fit Academia Corrida Casual,4.3,29,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,7.67
OLYMPIKUS,Tênis Olympikus Cyber 4 Masculino Corrida - Caminhada,4.7,3,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,259.9,32.49
MIZUNO,Tênis Para Caminhada Mizuno Cool Ride 2 - Masculino Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,397.21,369.79
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,4.6,945,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,74.95
ADIDAS,Tênis Esportivo Masculino E Feminino Lite Racer 4.0 adidas,4.4,36,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,299.99,268.99
OLYMPIKUS,Tênis Olympikus Volcan 2 Original Dia A Dia Confortável,4.8,30,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,249.99,199.99
OLYMPIKUS,Tênis Masculino Olympikus Estilo2 Treino - Adulto - Original,4.0,1,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,225.5,21.92
OLYMPIKUS,Tênis Olympikus Masculino Volcan 2 Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,219.98,199.99
OLYMPIKUS,Tênis Olympikus Veloz 3 Corrida Treino Conforto Unissex,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,319.9,289.88
SAPATOFRAN,Tênis Sapatênis Esportivo Para Academia X-try Original Leve,4.1,369,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,77.26,69.3
FILA,Tênis Fila Racer Nairobi Preto Cinza E Verde - Masculino,4.8,228,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,379.99,296.39
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,4.2,163,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,74.95
OLYMPIKUS,Olympikus Casual Mood Masculino Adultos,4.8,3553,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,179.99,17.5
